Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z
316,9.22,117.09,404.6,9.22,117.09,392.5
317,13.61,118.48,403.74,13.61,118.48,392.5
318,17.99,119.88,402.51,17.99,119.88,392.5
319,22.38,121.27,401.07,22.38,121.27,392.5
320,26.76,122.66,399.67,26.76,122.66,392.5
321,31.14,124.05,398.23,31.14,124.05,392.5
322,35.53,125.45,396.91,35.53,125.45,392.5
323,39.91,126.84,396.11,39.91,126.84,392.5
324,36.51,129.96,396.12,36.51,129.96,392.5
325,32.13,128.56,397.07,32.13,128.56,392.5
326,27.74,127.17,398.56,27.74,127.17,392.5
327,23.36,125.78,400.12,23.36,125.78,392.5
328,18.97,124.38,401.43,18.97,124.38,392.5
329,14.59,122.99,402.89,14.59,122.99,392.5
330,10.21,121.6,404.17,10.21,121.6,392.5
331,5.82,120.21,404.93,5.82,120.21,392.5
332,1.44,118.81,405.33,1.44,118.81,392.5
333,2.42,123.32,405.14,2.42,123.32,392.5
334,6.8,124.72,404.56,6.8,124.72,392.5
335,11.19,126.11,403.78,11.19,126.11,392.5
336,15.57,127.5,402.05,15.57,127.5,392.5
337,19.95,128.89,400.53,19.95,128.89,392.5
338,24.34,130.29,399.05,24.34,130.29,392.5
339,28.72,131.68,397.61,28.72,131.68,392.5
340,33.11,133.07,396.52,33.11,133.07,392.5
341,37.49,134.46,395.8,37.49,134.46,392.5
342,34.09,137.58,396.2,34.09,137.58,392.5
343,29.7,136.19,397.01,29.7,136.19,392.5
344,25.32,134.79,398.07,25.32,134.79,392.5
345,20.94,133.4,399.59,20.94,133.4,392.5
346,16.55,132.01,401.14,16.55,132.01,392.5
347,9.65,129.81,403.85,12.55,130.74,392.5
348,7.78,129.22,404.3,7.78,129.22,392.5
349,3.4,127.83,404.93,3.4,127.83,392.5
350,0.28,126.87,405.14,0.28,126.87,392.5
351,0,130.95,405.12,0,130.95,392.5
352,4.38,132.34,404.64,4.38,132.34,392.5
353,8.76,133.73,403.97,8.76,133.73,392.5
354,15.01,135.61,401.2,12.76,135.02,392.5
355,17.53,136.52,400.17,17.53,136.52,392.5
356,21.92,137.91,398.64,21.92,137.91,392.5
357,26.3,139.3,397.42,26.3,139.3,392.5
358,22.9,142.42,398.7,22.9,142.42,392.5
359,18.51,141.03,399.7,18.51,141.03,392.5
360,14.13,139.63,401.35,14.13,139.63,392.5
361,8.04,136.23,403.86,10.01,138.55,392.5
362,5.36,136.85,404.34,5.36,136.85,392.5
363,0.98,135.46,405.16,0.98,135.46,392.5
364,3.14,136.08,404.73,3.14,139.36,392.5
365,7.18,137.74,404.13,7.18,140.85,392.5
366,16.45,141.16,400.34,16.45,143.26,392.5
367,20.63,142.16,399.34,20.63,143.99,392.5
