Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z
100,478740.68,6772370.35,402.87,478740.68,6772370.35,392.5
101,478737.35,6772370.09,404.15,478737.35,6772370.09,392.5
102,478736.52,6772373.07,404.76,478739.61,6772374.19,392.5
103,478748.49,6772375.63,399.78,478746.64,6772376.24,392.5
104,478752.85,6772377.97,398.33,478751.37,6772378.45,392.5
105,478757.4,6772380.42,396.93,478756.27,6772380.79,392.5
106,478752.17,6772375.7,398.48,478752.17,6772375.7,392.5
107,478755.07,6772378.08,397.46,478755.07,6772378.08,392.5
108,478759.82,6772380.29,396.14,478759.82,6772380.29,392.5
109,478763.39,6772382.17,395,478763.39,6772382.17,392.5
110,478735.79,6772376.68,404.72,478738.86,6772377.8,392.5
111,478737.14,6772380.35,404.6,478740.19,6772381.44,392.5
112,478739.55,6772385.55,403.82,478742.18,6772384.05,392.5
113,478742.79,6772388.66,402.98,478745.23,6772387.26,392.5
114,478747.21,6772390.26,401.93,478749.41,6772389.01,392.5
115,478751.35,6772391.62,400.92,478753.31,6772390.5,392.5
116,478755.51,6772393.67,399.94,478757.24,6772392.68,392.5
117,478761.5,6772398.1,398.54,478762.91,6772397.29,392.5
118,478759.58,6772396.18,398.96,478761.08,6772395.32,392.5
119,478757.27,6772395.84,399.6,478757.27,6772395.84,392.5
120,478753.57,6772393.37,400.48,478753.57,6772393.37,392.5
121,478749.39,6772391.66,401.48,478749.39,6772391.66,392.5
122,478744.77,6772390.34,402.59,478744.77,6772390.34,392.5
123,478740.64,6772387.96,403.57,478740.64,6772387.96,392.5
124,478736.89,6772386.73,404.73,478736.89,6772386.73,392.5
125,478736.71,6772383.37,404.79,478736.71,6772383.37,392.5
126,478735.17,6772390.58,405.27,478735.17,6772390.58,392.5
127,478737.87,6772391.24,404.68,478737.87,6772391.24,392.5
128,478742.25,6772392.63,403.48,478742.25,6772392.63,392.5
129,478746.63,6772394.02,402.49,478746.63,6772394.02,392.5
130,478751.02,6772395.42,401.42,478751.02,6772395.42,392.5
131,478755.4,6772396.81,400.36,478755.4,6772396.81,392.5
132,478758.34,6772397.87,399.49,478758.34,6772397.87,392.5
133,478761.7,6772400.13,398.65,478761.7,6772400.13,392.5
134,478763.58,6772402.05,398.23,478765.02,6772402.57,392.5
135,478762.84,6772404.68,398.85,478762.84,6772404.68,392.5
136,478759.32,6772402.38,399.54,478759.32,6772402.38,392.5
137,478756.38,6772401.32,400.26,478756.38,6772401.32,392.5
138,478752,6772399.93,401.37,478752,6772399.93,392.5
139,478747.62,6772398.53,402.46,478747.62,6772398.53,392.5
140,478743.23,6772397.14,403.47,478743.23,6772397.14,392.5
141,478738.85,6772395.75,404.49,478738.85,6772395.75,392.5
142,478734.46,6772394.35,405.47,478734.46,6772394.35,392.5
143,478733.21,6772398.41,405.6,478733.21,6772398.41,392.5
144,478735.44,6772398.86,405.27,478735.44,6772398.86,392.5
145,478739.83,6772400.26,404.21,478739.83,6772400.26,392.5
146,478744.21,6772401.65,403.32,478744.21,6772401.65,392.5
147,478748.6,6772403.04,402.46,478748.6,6772403.04,392.5
148,478752.98,6772404.43,401.47,478752.98,6772404.43,392.5
149,478757.36,6772405.83,400.53,478757.36,6772405.83,392.5
150,478761.75,6772407.22,399.45,478761.75,6772407.22,392.5
151,478765.09,6772408.67,398.56,478765.09,6772408.67,392.5
152,478765.07,6772405.97,398.32,478766.54,6772406.49,392.5
153,478767.66,6772411.24,397.97,478769.04,6772411.74,392.5
154,478766.42,6772413.18,398.35,478766.42,6772413.18,392.5
155,478762.73,6772411.73,399.33,478762.73,6772411.73,392.5
156,478758.35,6772410.34,400.5,478758.35,6772410.34,392.5
157,478753.96,6772408.94,401.68,478753.96,6772408.94,392.5
158,478749.58,6772407.55,402.62,478749.58,6772407.55,392.5
159,478745.19,6772406.16,403.3,478745.19,6772406.16,392.5
160,478740.81,6772404.76,404.11,478740.81,6772404.76,392.5
161,478736.43,6772403.37,405.04,478736.43,6772403.37,392.5
162,478732.95,6772402.26,405.63,478732.95,6772402.26,392.5
163,478733.59,6772406.76,405.54,478733.59,6772406.76,392.5
164,478737.41,6772407.88,404.87,478737.41,6772407.88,392.5
165,478741.79,6772409.27,403.93,478741.79,6772409.27,392.5
166,478746.17,6772410.67,403.22,478746.17,6772410.67,392.5
167,478750.56,6772412.06,402.32,478750.56,6772412.06,392.5
168,478754.94,6772413.45,401.33,478754.94,6772413.45,392.5
169,478759.33,6772414.84,400.24,478759.33,6772414.84,392.5
170,478762.27,6772415.91,399.5,478762.27,6772415.91,392.5
171,478764.68,6772416.52,398.87,478764.68,6772416.52,392.5
172,478766.52,6772415.59,398.34,478767.99,6772416.12,392.5
173,478762.7,6772419.05,399.29,478764.41,6772419.67,392.5
174,478759.77,6772419.16,400.02,478759.77,6772419.16,392.5
175,478755.92,6772417.96,400.87,478755.92,6772417.96,392.5
176,478751.54,6772416.57,401.82,478751.54,6772416.57,392.5
177,478747.16,6772415.17,402.73,478747.16,6772415.17,392.5
178,478742.77,6772413.78,403.61,478742.77,6772413.78,392.5
179,478738.39,6772412.39,404.44,478738.39,6772412.39,392.5
180,478734,6772411,405.46,478734,6772411,392.5
181,478732.69,6772414.7,405.53,478732.69,6772414.7,392.5
182,478734.98,6772415.5,405.01,478734.98,6772415.5,392.5
183,478739.37,6772416.9,403.92,478739.37,6772416.9,392.5
184,478743.75,6772418.29,403.07,478743.75,6772418.29,392.5
185,478748.14,6772419.68,402.1,478748.14,6772419.68,392.5
186,478752.52,6772421.08,401.31,478752.52,6772421.08,392.5
187,478755.46,6772422.14,400.63,478755.46,6772422.14,392.5
188,478758.19,6772422.8,399.97,478758.19,6772422.8,392.5
189,478760.05,6772421.81,399.6,478761.85,6772422.45,392.5
190,478758.3,6772425.1,399.58,478760.09,6772425.74,392.5
191,478756.78,6772426.44,399.64,478756.78,6772426.44,392.5
192,478753.5,6772425.58,400.4,478753.5,6772425.58,392.5
193,478749.12,6772424.19,401.41,478749.12,6772424.19,392.5
194,478744.73,6772422.8,402.21,478744.73,6772422.8,392.5
195,478740.35,6772421.41,403.23,478740.35,6772421.41,392.5
196,478735.96,6772420.01,404.36,478735.96,6772420.01,392.5
197,478731.58,6772418.62,405.51,478731.58,6772418.62,392.5
198,478729.05,6772421.91,405.78,478729.05,6772421.91,392.5
199,478732.56,6772423.13,405.15,478732.56,6772423.13,392.5
200,478736.95,6772424.52,403.66,478736.95,6772424.52,392.5
201,478741.33,6772425.91,402.41,478741.33,6772425.91,392.5
202,478745.71,6772427.31,401.37,478745.71,6772427.31,392.5
203,478750.1,6772428.7,400.41,478750.1,6772428.7,392.5
204,478754.48,6772430.09,399.19,478754.48,6772430.09,392.5
205,478758.87,6772431.49,397.97,478758.87,6772431.49,392.5
206,478763.25,6772432.88,396.53,478763.25,6772432.88,392.5
207,478767.63,6772434.27,395.12,478767.63,6772434.27,392.5
208,478768.62,6772438.78,394.54,478768.62,6772438.78,392.5
209,478764.23,6772437.39,395.76,478764.23,6772437.39,392.5
210,478759.85,6772435.99,397.04,478759.85,6772435.99,392.5
211,478755.46,6772434.6,398.3,478755.46,6772434.6,392.5
212,478751.08,6772433.21,399.32,478751.08,6772433.21,392.5
213,478746.69,6772431.82,400.38,478746.69,6772431.82,392.5
214,478742.31,6772430.42,401.4,478742.31,6772430.42,392.5
215,478739.23,6772429.64,402.3,478739.23,6772429.64,392.5
216,478736.15,6772427.11,403.64,478736.15,6772427.11,392.5
217,478733.47,6772426.03,404.7,478733.47,6772426.03,392.5
218,478729.03,6772427.22,405.7,478731.16,6772430.05,392.5
219,478730.01,6772425.79,405.61,478730.01,6772425.79,392.5
220,478725.95,6772424.99,406.23,478725.95,6772424.99,392.5
221,478717.04,6772428.19,406.66,478717.04,6772428.19,392.5
222,478721.38,6772427,406.45,478721.38,6772427,392.5
223,478723.83,6772429.01,406.42,478723.83,6772429.01,392.5
224,478725.75,6772428.58,406.17,478727.95,6772431.51,392.5
225,478737.02,6772433.97,402.05,478734.57,6772433.24,392.5
226,478737.16,6772430.2,402.74,478734.53,6772429.41,392.5
227,478738.91,6772433.54,401.61,478738.91,6772433.54,392.5
228,478743.29,6772434.93,400.46,478743.29,6772434.93,392.5
229,478747.68,6772436.32,399.3,478747.68,6772436.32,392.5
230,478752.06,6772437.72,398.26,478752.06,6772437.72,392.5
231,478756.44,6772439.11,397.41,478756.44,6772439.11,392.5
232,478760.83,6772440.5,396.27,478760.83,6772440.5,392.5
233,478765.21,6772441.9,395.19,478765.21,6772441.9,392.5
234,478757.42,6772443.62,396.5,478757.42,6772443.62,392.5
235,478753.04,6772442.23,397.23,478753.04,6772442.23,392.5
236,478748.66,6772440.83,398.3,478748.66,6772440.83,392.5
237,478744.27,6772439.44,399.51,478744.27,6772439.44,392.5
238,478739.89,6772438.05,400.74,478739.89,6772438.05,392.5
239,478737.42,6772437.23,401.47,478735.12,6772436.54,392.5
240,478722.97,6772430.96,406.22,478725.18,6772433.9,392.5
241,478720.97,6772431.92,406.64,478720.97,6772431.92,392.5
242,478717.97,6772431.08,407.03,478717.97,6772431.08,392.5
243,478713.58,6772429.69,407.29,478713.58,6772429.69,392.5
244,478710.45,6772428.64,407.17,478710.45,6772428.64,392.5
245,478707.1,6772431.18,407.03,478707.1,6772431.18,392.5
246,478710.18,6772432.81,407.46,478710.18,6772432.81,392.5
247,478714.57,6772434.2,407.38,478714.57,6772434.2,392.5
248,478718.95,6772435.59,406.63,478718.95,6772435.59,392.5
249,478720.86,6772434.14,406.37,478723.1,6772437.11,392.5
250,478739.16,6772440.54,400.42,478737.12,6772439.93,392.5
251,478739.73,6772444.58,399.79,478738.65,6772442.96,392.5
252,478740.87,6772442.56,399.85,478740.87,6772442.56,392.5
253,478745.25,6772443.95,398.55,478745.25,6772443.95,392.5
254,478749.64,6772445.34,397.38,478749.64,6772445.34,392.5
255,478754.02,6772446.73,396.27,478754.02,6772446.73,392.5
256,478755,6772451.24,395.54,478755,6772451.24,392.5
257,478750.62,6772449.85,396.3,478750.62,6772449.85,392.5
258,478746.23,6772448.46,397.46,478746.23,6772448.46,392.5
259,478741.85,6772447.07,398.82,478741.85,6772447.07,392.5
260,478738.04,6772446.99,399.68,478738.04,6772446.99,392.5
261,478731.95,6772446.69,400.69,478731.49,6772444.54,392.5
262,478735.95,6772447.42,400.32,478735.52,6772445.37,392.5
263,478727.13,6772445.96,401.53,478726.63,6772443.59,392.5
264,478728.5,6772445.41,401.39,478728.5,6772445.41,392.5
265,478724.2,6772448.14,401.76,478723.68,6772445.72,392.5
266,478717.91,6772437.42,406.52,478720.17,6772440.42,392.5
267,478715.55,6772438.71,406.79,478715.55,6772438.71,392.5
268,478711.16,6772437.32,407.31,478711.16,6772437.32,392.5
269,478706.78,6772435.92,407.2,478706.78,6772435.92,392.5
270,478703.58,6772434.85,406.95,478703.58,6772434.85,392.5
271,478703.37,6772439.04,406.84,478703.37,6772439.04,392.5
272,478707.76,6772440.43,406.81,478707.76,6772440.43,392.5
273,478712.14,6772441.82,406.21,478712.14,6772441.82,392.5
274,478714.54,6772440.58,406.33,478716.77,6772443.54,392.5
275,478720.63,6772449.08,402.46,478720.08,6772446.47,392.5
276,478725.77,6772448.15,401.42,478725.77,6772448.15,392.5
277,478729.68,6772447.4,400.85,478729.68,6772447.4,392.5
278,478734.06,6772448.79,400.27,478734.06,6772448.79,392.5
279,478738.45,6772450.18,398.97,478738.45,6772450.18,392.5
280,478742.83,6772451.57,397.27,478742.83,6772451.57,392.5
281,478747.22,6772452.97,396.26,478747.22,6772452.97,392.5
282,478743.81,6772456.08,396.17,478743.81,6772456.08,392.5
283,478739.43,6772454.69,397.23,478739.43,6772454.69,392.5
284,478735.04,6772453.3,398.65,478735.04,6772453.3,392.5
285,478730.66,6772451.9,400.02,478730.66,6772451.9,392.5
286,478726.28,6772450.51,400.86,478726.28,6772450.51,392.5
287,478722.27,6772450.22,401.66,478722.27,6772450.22,392.5
288,478717.05,6772448.06,403.59,478717.05,6772448.06,392.5
289,478713.12,6772446.33,404.74,478713.12,6772446.33,392.5
290,478708.74,6772444.94,405.76,478708.74,6772444.94,392.5
291,478704.36,6772443.55,406.17,478704.36,6772443.55,392.5
292,478700.43,6772442.51,406.01,478700.43,6772442.51,392.5
293,478697.89,6772445.6,405.79,478697.89,6772445.6,392.5
294,478700.95,6772446.66,405.6,478700.95,6772446.66,392.5
295,478705.34,6772448.06,405.15,478705.34,6772448.06,392.5
296,478709.72,6772449.45,404.51,478709.72,6772449.45,392.5
297,478714.1,6772450.84,403.28,478714.1,6772450.84,392.5
298,478718.49,6772452.23,401.99,478718.49,6772452.23,392.5
299,478722.87,6772453.63,400.76,478722.87,6772453.63,392.5
300,478727.26,6772455.02,399.8,478727.26,6772455.02,392.5
301,478731.64,6772456.41,398.56,478731.64,6772456.41,392.5
302,478736.03,6772457.81,397.14,478736.03,6772457.81,392.5
303,478740.41,6772459.2,396.25,478740.41,6772459.2,392.5
304,478737.01,6772462.31,396.24,478737.01,6772462.31,392.5
305,478732.62,6772460.92,397.13,478732.62,6772460.92,392.5
306,478728.24,6772459.53,398.33,478728.24,6772459.53,392.5
307,478723.85,6772458.14,399.62,478723.85,6772458.14,392.5
308,478719.47,6772456.74,400.78,478719.47,6772456.74,392.5
309,478715.09,6772455.35,402.02,478715.09,6772455.35,392.5
310,478710.7,6772453.96,403.49,478710.7,6772453.96,392.5
311,478706.32,6772452.56,404.38,478706.32,6772452.56,392.5
312,478701.93,6772451.17,404.99,478701.93,6772451.17,392.5
313,478697.55,6772449.78,405.5,478697.55,6772449.78,392.5
314,478696.25,6772453.68,405.41,478696.25,6772453.68,392.5
315,478698.53,6772454.29,405.22,478698.53,6772454.29,392.5
316,478702.91,6772455.68,404.6,478702.91,6772455.68,392.5
317,478707.3,6772457.07,403.74,478707.3,6772457.07,392.5
318,478711.68,6772458.47,402.51,478711.68,6772458.47,392.5
