682.79235840	249.99662781	405.50930786
691.19195557	254.44494629	405.45111084
702.79394531	262.44692993	405.50741577
712.93078613	275.24627686	405.38128662
725.15643311	289.64056396	405.52740479
734.35601807	298.87603760	406.26248169
620.98712158	405.28875732	405.57617188
602.57617188	390.94293213	405.87396240
587.48455811	375.12890625	405.31268311
580.67523193	368.78524780	405.01916504
597.30853271	343.47000122	405.24145508
605.44036865	334.57681274	405.10000610
614.63311768	321.64971924	405.41400146
625.03857422	306.43206787	404.97979736
628.03894043	299.10699463	404.98028564
636.82354736	290.08697510	404.95773315
644.00323486	280.59161377	405.06546021
648.85607910	271.42834473	405.27539063
653.10681152	263.21731567	405.49166870
