Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z,diameter,subdrill,shape
66,478750.960,6772357.620,401.340,478750.960,6772357.620,392.500,165,1,outline-circle
67,478746.570,6772356.230,402.760,478746.570,6772356.230,392.500,165,1,outline-circle
68,478742.190,6772354.840,404.110,478742.190,6772354.840,392.500,165,1,outline-circle
69,478737.810,6772353.450,405.330,478737.810,6772353.450,392.500,165,1,outline-circle
70,478736.510,6772357.160,405.160,478736.510,6772357.160,392.500,165,1,outline-circle
71,478739.690,6772358.410,404.260,478739.690,6772358.410,392.500,165,1,outline-circle
72,478743.170,6772359.350,403.060,478743.170,6772359.350,392.500,165,1,outline-circle
73,478747.560,6772360.740,401.650,478747.560,6772360.740,392.500,165,1,outline-circle
74,478751.940,6772362.130,400.200,478751.940,6772362.130,392.500,165,1,outline-circle
75,478756.320,6772363.530,398.650,478756.320,6772363.530,392.500,165,1,outline-circle
76,478760.710,6772364.920,396.990,478760.710,6772364.920,392.500,165,1,outline-circle
77,478765.090,6772366.310,395.780,478765.090,6772366.310,392.500,165,1,outline-circle
78,478769.480,6772367.700,394.710,478769.480,6772367.700,392.500,165,1,outline-circle
79,478766.070,6772370.820,394.490,478766.070,6772370.820,392.500,165,1,outline-circle
80,478761.690,6772369.430,395.780,478761.690,6772369.430,392.500,165,1,outline-circle
81,478757.300,6772368.030,397.320,478757.300,6772368.030,392.500,165,1,outline-circle
82,478752.920,6772366.640,398.970,478752.920,6772366.640,392.500,165,1,outline-circle
83,478748.540,6772365.250,400.520,478748.540,6772365.250,392.500,165,1,outline-circle
84,478744.150,6772363.860,402.120,478744.150,6772363.860,392.500,165,1,outline-circle
85,478739.770,6772362.460,403.680,478739.770,6772362.460,392.500,165,1,outline-circle
86,478735.860,6772361.240,404.990,478735.860,6772361.240,392.500,165,1,outline-circle
87,478736.370,6772365.580,404.560,478736.370,6772365.580,392.500,165,1,outline-circle
88,478740.750,6772366.970,402.930,478740.750,6772366.970,392.500,165,1,outline-circle
89,478745.130,6772368.370,401.260,478745.130,6772368.370,392.500,165,1,outline-circle
90,478749.520,6772369.760,399.660,478749.520,6772369.760,392.500,165,1,outline-circle
91,478753.900,6772371.150,397.960,478753.900,6772371.150,392.500,165,1,outline-circle
92,478758.290,6772372.540,396.220,478758.290,6772372.540,392.500,165,1,outline-circle
93,478762.670,6772373.940,394.930,478762.670,6772373.940,392.500,165,1,outline-circle
94,478763.650,6772378.440,394.650,478763.650,6772378.440,392.500,165,1,outline-circle
95,478759.270,6772377.050,395.880,478759.270,6772377.050,392.500,165,1,outline-circle
96,478754.820,6772374.830,397.500,478754.820,6772374.830,392.500,165,1,outline-circle
97,478750.440,6772373.440,399.040,478750.440,6772373.440,392.500,165,1,outline-circle
98,478746.110,6772372.870,400.620,478746.110,6772372.870,392.500,165,1,outline-circle
99,478743.570,6772371.850,401.630,478743.570,6772371.850,392.500,165,1,outline-circle
100,478740.680,6772370.350,402.870,478740.680,6772370.350,392.500,165,1,outline-circle
101,478737.350,6772370.090,404.150,478737.350,6772370.090,392.500,165,1,outline-circle
102,478736.520,6772373.070,404.760,478739.610,6772374.190,391.500,165,2,line-cross
103,478748.490,6772375.630,399.780,478746.640,6772376.240,391.500,165,2,line-cross
104,478752.850,6772377.970,398.330,478751.370,6772378.450,391.500,165,2,line-cross
105,478757.400,6772380.420,396.930,478756.270,6772380.790,391.500,165,2,line-cross
106,478752.170,6772375.700,398.480,478752.170,6772375.700,392.500,165,1.5,line-square
107,478755.070,6772378.080,397.460,478755.070,6772378.080,392.500,165,1.5,line-square
108,478759.820,6772380.290,396.140,478759.820,6772380.290,392.500,165,1.5,line-square
109,478763.390,6772382.170,395.000,478763.390,6772382.170,392.500,165,1.5,line-square
110,478735.790,6772376.680,404.720,478738.860,6772377.800,392.500,165,1.5,line-square
111,478737.140,6772380.350,404.600,478740.190,6772381.440,392.500,165,1.5,line-square
